ts,soil1,soil2,sens_suolo_anal1,sens_suolo_anal2,bme_t,bme_rh,bme_p,bme_iaq,bme_static_iaq,bme_co2eq,bme_voc,bme_gas_pct,bme_gas_raw,vbat,vpv,ppv,flow_lph,flow_total,valve1,valve2,rtc_epoch_esp32
"2025-10-06T09:55:50Z",,,0,0,22.18289,53.38254,1019.851,95.18383,69.73762,697.3762,0.782232,32.09487,223776.2,12.18004,0,,0,0,0,0,1759744550
"2025-10-06T09:56:25Z",,,0,0,22.19042,53.34771,1019.845,95.33842,69.80515,698.0515,0.783431,32.21145,223629.6,12.18004,0,,0,0,0,0,1759744585
"2025-10-06T10:17:17Z",,,0,0,22.15529,52.16528,1019.785,71.82442,59.53354,595.3354,0.620656,16.94714,230734.6,12.18172,0,,0,0,0,0,1759745837
"2025-10-06T10:37:21Z",,,0,0,22.28327,52.1413,1019.694,83.11763,64.46674,644.6674,0.694114,24.70179,227656.7,12.17667,0.001928,,0,0,0,0,1759747041
"2025-10-06T10:47:01Z",,,0,0,22.32343,52.09914,1019.729,86.59312,65.98494,659.8494,0.718425,27.13367,226148.4,12.17835,0,,0,0,0,0,1759747621
"2025-10-06T10:54:43Z",,,0,0,22.35605,52.15813,1019.691,91.73792,68.23234,682.3234,0.755984,30.7094,224807.9,12.17499,0.003856,,0,0,0,0,1759748083
"2025-10-06T11:10:08Z",,,0,0,22.46897,52.79763,1019.65,199.3123,115.224,1152.24,2.194126,100,194123.2,12.17499,0,,0,0,0,0,1759749008
"2025-10-06T11:24:52Z",,,0,0,22.44639,53.12101,1019.56,124.3728,105.0539,1050.539,1.742254,51.21525,199804.9,12.19014,0.001928,,0,0,0,0,1759749892
"2025-10-06T11:33:50Z",,,0,0,22.5016,53.1334,1019.407,109.7674,93.96707,939.6707,1.354985,41.86921,205829.1,12.1733,0.001928,,0,0,0,0,1759750430
"2025-10-06T11:41:21Z",,,0,0,22.56182,53.38355,1019.503,107.618,92.17321,921.7321,1.300977,40.50473,207329.4,12.1733,0,,0,0,0,0,1759750881
"2025-10-06T11:49:01Z",,,0,0,22.59445,53.50347,1019.387,106.4372,91.08568,910.8568,1.269288,39.75829,206576.6,12.18004,0.003856,,0,0,0,0,1759751341
"2025-10-06T11:56:22Z",,,0,0,22.62707,53.62827,1019.374,107.4766,91.63222,916.3221,1.285116,40.42084,206576.6,12.18172,0.001928,,0,0,0,0,1759751782
"2025-10-06T12:30:47Z",,,0,0,22.77011,54.26221,1019.227,111.5232,93.52165,935.2166,1.341369,42.94228,204106,12.17835,0,,0,0,0,0,1759753847
"2025-10-06T13:06:23Z",,,0,0,22.87551,54.47019,1019.212,107.02,89.33758,893.3758,1.219961,40.22294,204718.1,12.17667,0.001928,,0,0,0,0,1759755983
"2025-10-06T13:36:33Z",,,0,0,22.94326,54.48178,1019.07,106.4474,88.11461,881.1461,1.186595,39.91232,205333.9,12.18172,0,,0,0,0,0,1759757793
